metric,type,avg,min,med,max,p(90),p(95),p(99),count,rate,passes,fails
http_429_count,counter,,,,,,,,0,0,,
data_received,counter,,,,,,,,3677217,273910.1518370838,,
db_write_inconsistency_detected,rate,,,,,,,,,0,0,0
missing_attendance,rate,,,,,,,,,1,60,0
vus,gauge,,20,,100,,,,,,,
http_req_duration{expected_response:true},trend,1661.6646224242431,10.5284,803.4293,7457.1736,4286.46252,6062.597194999998,7235.101419,,,,
http_500_count,counter,,,,,,,,0,0,,
http_req_connecting,trend,0.38123930555555574,0,0,17.1502,1.3759,2.4932,4.768296999999983,,,,
http_req_blocked,trend,4.145928055555555,0,0,51.5769,15.873430000000026,42.2532,47.79125299999997,,,,
http_req_failed,rate,,,,,,,,,0.08333333333333333,60,660
data_sent,counter,,,,,,,,441831,32911.30120858534,,
checks,rate,,,,,,,,,0.8956521739130435,2060,240
http_req_waiting,trend,1541.3394720833332,9.7995,761.363,7457.1736,4173.645310000001,6038.115449999999,7228.862588999998,,,,
teacher_workflow_success,rate,,,,,,,,,0,0,60
iterations,counter,,,,,,,,100,7.44884383589774,,
http_req_duration,trend,1542.3058197222224,10.5284,761.56195,7457.1736,4173.68385,6038.4603,7228.931672999998,,,,
http_req_tls_handshaking,trend,0,0,0,0,0,0,0,,,,
vus_max,gauge,,100,,100,,,,,,,
duplicate_fee_payment_detected,rate,,,,,,,,,0,0,20
http_req_sending,trend,0.15046805555555562,0,0,42.5876,0,0.5877349999999997,2.0138,,,,
iteration_duration,trend,12551.757656999995,10769.0774,12657.84085,13417.1809,13289.71396,13354.504504999999,13393.775617,,,,
duplicate_attendance_detected,rate,,,,,,,,,0,0,60
login_duration,trend,2057.3321579999993,579.465,2257.843,3433.3051,3298.18534,3386.42582,3425.486971,,,,
workflow_duration,trend,12550.52,10769,12658.5,13406,13289.1,13353.75,13393.13,,,,
http_req_receiving,trend,0.8158795833333342,0,0,247.7708,1.01487,1.6388749999999972,4.638495999999958,,,,
group_duration,trend,1331.3726532352948,0,601.4186,7461.1334,4268.79379,6054.439005,7236.257637,,,,
partial_attendance_save,rate,,,,,,,,,1,60,0
race_condition_detected,rate,,,,,,,,,0,0,0
http_reqs,counter,,,,,,,,720,53.631675618463724,,
