metric,type,avg,min,med,max,p(90),p(95),p(99),count,rate,passes,fails
vus,gauge,,0,,100,,,,,,,
checks,rate,,,,,,,,,0.998693948628646,2294,3
http_req_connecting,trend,0.294715716272601,0,0,6.672,2.0144,2.2595,4.1398,,,,
data_received,counter,,,,,,,,5047949,254838.37348956254,,
http_req_blocked,trend,1.4807692628650913,0,0,22.359,3.5539400000000025,13.6628,19.75182400000001,,,,
group_duration,trend,1322.6480444771714,0,757.7685,8449.939,3151.29638,4487.504500000003,8169.751184000001,,,,
iterations,counter,,,,,,,,100,5.048354757339318,,
data_sent,counter,,,,,,,,441234,22275.057629998566,,
http_req_duration,trend,2018.5321688456188,9.9825,1130.7745,9396.3104,5020.960020000001,7913.11305,8967.659364000001,,,,
http_req_failed,rate,,,,,,,,,0.0013908205841446453,1,718
http_req_duration{expected_response:true},trend,2018.5981710306407,9.9825,1127.84865,9396.3104,5022.897530000001,7914.013875,8967.701616,,,,
workflow_duration,trend,15917.61,6744,16746.5,19795,18892.2,19512.75,19757.38,,,,
db_write_inconsistency_detected,rate,,,,,,,,,0,0,0
http_req_tls_handshaking,trend,0,0,0,0,0,0,0,,,,
duplicate_fee_payment_detected,rate,,,,,,,,,0,0,19
missing_attendance,rate,,,,,,,,,0,0,60
vus_max,gauge,,95,,100,,,,,,,
partial_attendance_save,rate,,,,,,,,,0,0,60
iteration_duration,trend,15917.889782999993,6743.412,16746.5845,19794.7708,18891.443740000002,19512.757260000002,19757.188519,,,,
http_req_waiting,trend,2017.533873991656,9.9825,1130.7745,9392.9753,5020.960020000001,7913.11305,8966.96802,,,,
http_req_receiving,trend,0.9328913769123789,0,0.4132,8.428,2.772200000000002,4.499460000000001,7.02888400000003,,,,
race_condition_detected,rate,,,,,,,,,0,0,0
http_req_sending,trend,0.06540347705146035,0,0,4.1398,0,0.5437,2.004412000000002,,,,
http_429_count,counter,,,,,,,,0,0,,
http_500_count,counter,,,,,,,,0,0,,
duplicate_attendance_detected,rate,,,,,,,,,0,0,60
login_duration,trend,5538.591877,1382.2932,5852.155199999999,9396.3104,8953.40199,9127.85039,9388.069739,,,,
teacher_workflow_success,rate,,,,,,,,,0.9666666666666667,58,2
http_reqs,counter,,,,,,,,719,36.297670705269695,,
