metric,type,avg,min,med,max,p(90),p(95),p(99),count,rate,passes,fails
data_sent,counter,,,,,,,,32480,10994.213719594001,,
db_write_inconsistency_detected,rate,,,,,,,,,0,0,0
http_req_connecting,trend,0.5506571428571428,0,0,3.8546,3.8546,3.8546,3.8546,,,,
vus_max,gauge,,20,,20,,,,,,,
iterations,counter,,,,,,,,20,6.7698360342327595,,
race_condition_detected,rate,,,,,,,,,0,0,2
http_req_duration{expected_response:true},trend,409.0242176470587,4.9583,181.3066,1454.1773,1049.18017,1275.0108349999996,1440.874249,,,,
data_received,counter,,,,,,,,316193,107028.73825860795,,
iteration_duration,trend,2059.236995,1309.0295,1659.76015,2954.2813,2847.8061000000002,2866.1096150000003,2936.646963,,,,
http_req_duration,trend,397.99424999999985,4.9583,97.76795,1454.1773,1047.91219,1242.066244999999,1440.477143,,,,
http_429_count,counter,,,,,,,,0,0,,
duplicate_fee_payment_detected,rate,,,,,,,,,0,0,2
vus,gauge,,1,,20,,,,,,,
http_reqs,counter,,,,,,,,70,23.694426119814658,,
http_req_tls_handshaking,trend,0,0,0,0,0,0,0,,,,
workflow_duration,trend,2809.75,2677,2829,2955,2889.9,2922.45,2948.49,,,,
group_duration,trend,70.95817631578946,0,15.6783,431.8607,297.66266000000047,381.270645,414.4577130000001,,,,
checks,rate,,,,,,,,,0.9891304347826086,182,2
http_500_count,counter,,,,,,,,0,0,,
http_req_blocked,trend,0.8594814285714284,0,0,6.0842,3.8546,3.8546,6.0842,,,,
http_req_waiting,trend,396.3844799999999,0.8543,95.61785,1453.427,1047.81362,1241.650939999999,1439.8451089999999,,,,
login_duration,trend,1090.231445,782.7311,1036.3845999999999,1454.1773,1429.15393,1435.3147649999999,1450.404793,,,,
http_req_failed,rate,,,,,,,,,0.02857142857142857,2,68
duplicate_attendance_detected,rate,,,,,,,,,0,0,0
http_req_sending,trend,0.11013142857142857,0,0,3.8546,0,0,3.8546,,,,
http_req_receiving,trend,1.4996385714285714,0,0.7691,9.5434,4.53415,5.461354999999999,7.0826530000000085,,,,
